iter	RMSE
0	0.1932066232
1	0.1924899946
2	0.1916448158
3	0.1908205716
4	0.1900804401
5	0.1894106607
6	0.1888663416
7	0.1881750049
8	0.1876034052
9	0.1870160852
10	0.1864171014
11	0.1859086194
12	0.1853681513
13	0.1848081914
14	0.1843194587
15	0.1838140715
16	0.1833858356
17	0.1829656584
18	0.1825515814
19	0.1820144815
20	0.1816158621
21	0.1811904652
22	0.1807200461
23	0.1802463636
24	0.1798415722
25	0.1794842774
26	0.179091912
27	0.1787521383
28	0.1784657616
29	0.1781739128
30	0.177738688
31	0.1773508916
32	0.1770555481
33	0.1767282924
34	0.176457759
35	0.1760918586
36	0.1756360909
37	0.1752621808
38	0.174961065
39	0.1745901068
40	0.1742950245
41	0.1740700017
42	0.1738006887
43	0.1736776121
44	0.1734028009
45	0.1731115736
46	0.172747342
47	0.172476504
48	0.1721485869
49	0.1720438563
50	0.1718128629
51	0.1716802365
52	0.1715206563
53	0.1712938378
54	0.1710732095
55	0.1707812124
56	0.1706073316
57	0.1703537469
58	0.1700911621
59	0.1699762693
60	0.1698436294
61	0.1696208246
62	0.1693550229
63	0.1690379753
64	0.1688471302
65	0.1686585425
66	0.1686241309
67	0.168466311
68	0.1682069549
69	0.1680863678
70	0.167911637
71	0.1675774648
72	0.1673537043
73	0.1671929815
74	0.1671184233
75	0.1670662578
76	0.1669146891
77	0.1668397169
78	0.1667471747
79	0.1665259134
80	0.1664275016
81	0.1663251582
82	0.1661828795
83	0.1661724707
84	0.1660099652
85	0.16591673
86	0.1658269304
87	0.1657668603
88	0.1656639005
89	0.1655455502
90	0.1653980439
91	0.1652819328
92	0.1652011805
93	0.1651357382
94	0.1650589348
95	0.1649902033
96	0.1649518205
97	0.1648649614
98	0.164762551
99	0.1647125254
100	0.1646068324
101	0.1645435123
102	0.1645181149
103	0.1645067622
104	0.164411562
105	0.1643325873
106	0.1642139118
107	0.164143549
108	0.1640922907
109	0.1640111118
110	0.1639443783
111	0.1639429755
112	0.1639333021
113	0.1638409271
114	0.1637325803
115	0.1636069556
116	0.1635040109
117	0.1634607802
118	0.1633630915
119	0.1633092423
120	0.1632168155
121	0.1631560721
122	0.1631186174
123	0.1629770117
124	0.1629157905
125	0.1628677091
126	0.1627743272
127	0.1627441237
128	0.1626876737
129	0.1626185292
130	0.1625349496
131	0.1624382257
132	0.1624093152
133	0.1623491533
134	0.1623115253
135	0.1622830516
136	0.162203776
137	0.1621396453
138	0.1620260486
139	0.1620018423
140	0.1619125309
141	0.1618653695
142	0.1618405915
143	0.161833074
144	0.1617464026
145	0.1616746638
146	0.1616203336
147	0.1616126203
148	0.1615367906
149	0.1614622437
150	0.1613703385
151	0.1613467064
152	0.1613058486
153	0.1612591607
154	0.1611927188
155	0.1611920092
156	0.1610111679
157	0.1609777752
158	0.1609122885
159	0.1609053736
160	0.160830215
161	0.1607899398
162	0.1607819708
163	0.1606538699
164	0.16063815
165	0.160409542
166	0.1603223645
167	0.1602845221
168	0.1602509247
169	0.1601841423
170	0.1601578446
171	0.160155572
172	0.1600945337
173	0.1600308517
174	0.1599580865
175	0.1599128221
176	0.1597717672
177	0.1597033848
178	0.1596380973
179	0.1595833465
180	0.1595381645
181	0.159483495
182	0.1594777693
183	0.159445273
184	0.159422184
185	0.1593926597
186	0.1593799214
187	0.1593320383
188	0.1593305615
189	0.1593301642
190	0.1593202321
191	0.1592753106
192	0.1592075597
193	0.1591466116
194	0.1591313632
195	0.1590959631
196	0.1590049985
197	0.1589198873
198	0.1588987726
199	0.1588653391
200	0.1588206811
201	0.1587671772
202	0.1587458716
203	0.1586120468
204	0.158564963
205	0.1585183744
206	0.1585150319
207	0.158481031
208	0.1584706394
209	0.1584515296
210	0.158426652
