iter	Passed	Remaining
0	7	36253
1	16	41112
2	24	41456
3	34	43051
4	41	41091
5	48	40763
6	55	39671
7	62	39248
8	69	38467
9	76	38046
10	82	37529
11	89	37041
12	95	36692
13	102	36366
14	109	36321
15	115	36071
16	122	35874
17	128	35669
18	135	35483
19	143	35653
20	149	35486
21	156	35322
22	162	35155
23	169	35047
24	175	34923
25	182	34865
26	188	34760
27	195	34690
28	204	35040
29	212	35154
30	219	35145
31	226	35155
32	233	35092
33	240	35087
34	248	35190
35	254	35147
36	261	35090
37	268	34996
38	275	35014
39	281	34931
40	288	34879
41	294	34793
42	301	34732
43	318	35892
44	331	36544
45	345	37207
46	357	37710
47	366	37770
48	373	37747
49	382	37873
50	389	37820
51	398	37911
52	408	38124
53	416	38151
54	426	38389
55	437	38591
56	456	39588
57	463	39460
58	470	39412
59	476	39245
60	482	39081
61	494	39386
62	506	39728
63	514	39649
64	521	39580
65	527	39457
66	534	39336
67	540	39237
68	547	39107
69	553	38984
70	560	38916
71	566	38794
72	573	38697
73	579	38598
74	586	38494
75	592	38405
76	599	38313
77	623	39315
78	639	39847
79	651	40045
80	661	40155
81	672	40339
82	684	40539
83	695	40710
84	708	40988
85	717	41010
86	724	40892
87	731	40844
88	738	40729
89	744	40606
90	754	40685
91	765	40842
92	776	40981
93	784	40926
94	790	40789
95	795	40652
96	802	40540
97	808	40422
98	814	40297
99	819	40170
100	825	40046
101	831	39923
102	837	39819
103	843	39708
104	849	39618
105	856	39527
106	862	39450
107	869	39383
108	875	39301
109	882	39245
110	889	39169
111	895	39091
112	901	38967
113	908	38948
114	915	38893
115	922	38825
116	928	38757
117	935	38685
118	941	38622
119	948	38564
120	954	38502
121	962	38476
122	966	38330
123	973	38266
124	979	38206
125	986	38145
126	993	38109
127	999	38060
128	1007	38025
129	1014	38001
130	1021	37950
131	1027	37894
132	1033	37834
133	1040	37786
134	1046	37729
135	1054	37697
136	1060	37645
137	1067	37600
138	1073	37545
139	1080	37495
140	1086	37441
141	1092	37388
142	1099	37349
143	1106	37298
144	1113	37269
145	1119	37218
146	1126	37179
147	1132	37134
148	1137	37018
149	1143	36983
150	1150	36935
151	1156	36896
152	1163	36862
153	1167	36753
154	1174	36711
155	1180	36665
156	1187	36626
