iter	Passed	Remaining
0	5	2593
1	10	2561
2	14	2433
3	19	2361
4	23	2328
5	28	2315
6	32	2306
7	38	2352
8	42	2335
9	47	2317
10	51	2294
11	55	2273
12	60	2277
13	65	2259
14	69	2254
15	74	2242
16	78	2229
17	82	2213
18	86	2200
19	91	2192
20	95	2180
21	99	2166
22	103	2154
23	108	2149
24	112	2141
25	117	2134
26	121	2130
27	126	2129
28	130	2122
29	135	2121
30	140	2118
31	144	2114
32	148	2107
33	152	2094
34	157	2089
35	161	2087
36	166	2085
37	172	2093
38	177	2093
39	181	2087
40	186	2084
41	190	2078
42	195	2076
43	200	2073
44	205	2073
45	209	2070
46	214	2068
47	219	2063
48	223	2061
49	229	2061
50	233	2052
51	237	2047
52	242	2042
53	246	2039
54	251	2038
55	256	2034
56	261	2030
57	265	2023
58	269	2017
59	273	2009
60	278	2001
61	282	1994
62	286	1987
63	291	1983
64	295	1978
65	299	1972
66	304	1968
67	309	1963
68	313	1957
69	318	1954
70	322	1950
71	327	1945
72	331	1941
73	336	1934
74	340	1929
75	345	1924
76	349	1920
77	353	1913
78	358	1908
79	362	1903
80	366	1896
81	370	1891
82	374	1881
83	378	1876
84	383	1871
85	388	1867
86	392	1863
87	396	1857
88	400	1851
89	405	1848
90	410	1845
91	415	1840
92	419	1835
93	423	1830
94	428	1827
95	432	1819
96	437	1816
97	441	1812
98	446	1809
99	450	1802
100	454	1797
101	459	1793
102	463	1786
103	467	1780
104	472	1777
105	477	1774
106	482	1771
107	486	1767
108	491	1763
109	495	1758
110	500	1754
111	504	1749
112	509	1744
113	514	1741
114	518	1736
115	523	1733
116	528	1729
117	532	1723
118	537	1720
119	541	1714
120	546	1710
121	551	1707
122	555	1702
123	559	1697
124	564	1692
125	568	1687
126	573	1683
127	577	1678
128	582	1675
129	587	1671
130	591	1666
131	596	1663
132	601	1659
133	605	1654
134	610	1650
135	615	1646
136	620	1643
137	625	1639
138	629	1635
139	634	1630
140	638	1626
141	643	1621
142	647	1616
143	651	1611
144	656	1607
145	661	1602
146	665	1599
147	670	1594
148	674	1588
149	678	1584
150	683	1579
151	687	1573
152	692	1571
153	697	1566
154	701	1562
155	706	1558
156	711	1554
157	715	1549
158	720	1544
159	724	1540
160	729	1536
161	734	1531
162	739	1528
163	744	1524
164	748	1519
